segment,node_type,post_id,comment_id,source,labels,text_orig,keywords
company vpn lose,1,post039,,1,{'protocol'},"As soon as I connect to my company’s VPN, I lose access to all other internet — can’t browse, use Teams, etc.","{'access', 'company', 'lose', 'connect', 'vpn'}"
upload speed fine,0,post040,,0,set(),Upload speeds fine in browser but OBS keeps disconnecting,"{'fine', 'obs', 'browser', 'upload', 'speed', 'disconnect'}"
browser obs disconnect,0,post040,,0,set(),Upload speeds fine in browser but OBS keeps disconnecting,"{'fine', 'obs', 'browser', 'upload', 'speed', 'disconnect'}"
proxy windows settings restart super annoy,0,post043,,1,set(),"Even when I disable the proxy in Windows settings, it re-enables itself after a restart. Super annoying.","{'windows', 'restart', 'reenables', 'proxy', 'disable', 'annoy', 'super', 'settings'}"
disable proxy windows settings,1,post043,,1,set(),"Even when I disable the proxy in Windows settings, it re-enables itself after a restart. Super annoying.","{'windows', 'restart', 'reenables', 'proxy', 'disable', 'annoy', 'super', 'settings'}"
reenables restart,2,post043,,1,set(),"Even when I disable the proxy in Windows settings, it re-enables itself after a restart. Super annoying.","{'windows', 'restart', 'reenables', 'proxy', 'disable', 'annoy', 'super', 'settings'}"
windows connect school internet secure,0,post044,,1,set(),"Windows connects to the school Wi-Fi but always says 'No Internet, secured'. Other students don’t have this issue.","{'windows', 'secure', 'wifi', 'internet', 'school', 'connect', 'students'}"
students connect school wifi,0,post044,,1,set(),"Windows connects to the school Wi-Fi but always says 'No Internet, secured'. Other students don’t have this issue.","{'windows', 'secure', 'wifi', 'internet', 'school', 'connect', 'students'}"
start windows update web version fine,0,post045,,1,{'device'},Drive for Desktop says 'No connection' but I can use the web version fine. This started after a Windows update.,"{'windows', 'fine', 'desktop', 'connection', 'web', 'start', 'version', 'say', 'update'}"
desktop say connection,0,post045,,1,{'device'},Drive for Desktop says 'No connection' but I can use the web version fine. This started after a Windows update.,"{'windows', 'fine', 'desktop', 'connection', 'web', 'start', 'version', 'say', 'update'}"
sleep wifi adapter,0,post046,,1,set(),"After waking from sleep, my Wi-Fi adapter is just gone from Device Manager. Only a restart brings it back.","{'wifi', 'manager', 'sleep', 'adapter', 'device'}"
adapter device manager,2,post046,,1,set(),"After waking from sleep, my Wi-Fi adapter is just gone from Device Manager. Only a restart brings it back.","{'wifi', 'manager', 'sleep', 'adapter', 'device'}"
wifi connect browse hotel wifi connect,0,post047,,0,{'person'},Hotel Wi-Fi connects but no browsing possible,"{'wifi', 'possible', 'connect', 'browse', 'hotel'}"
connect browse possible,1,post047,,0,{'person'},Hotel Wi-Fi connects but no browsing possible,"{'wifi', 'possible', 'connect', 'browse', 'hotel'}"
laptop connect hotel,0,post047,,1,{'device'},"My laptop connects to the hotel Wi-Fi network, but I can't load any websites or use apps that require internet. Other guests say their devices work fine.","{'apps', 'wifi', 'internet', 'connect', 'hotel', 'laptop', 'require'}"
connect hotel wifi,1,post047,,1,{'device'},"My laptop connects to the hotel Wi-Fi network, but I can't load any websites or use apps that require internet. Other guests say their devices work fine.","{'apps', 'wifi', 'internet', 'connect', 'hotel', 'laptop', 'require'}"
apps require internet,2,post047,,1,{'device'},"My laptop connects to the hotel Wi-Fi network, but I can't load any websites or use apps that require internet. Other guests say their devices work fine.","{'apps', 'wifi', 'internet', 'connect', 'hotel', 'laptop', 'require'}"
vpn connection establish,0,post048,,0,{'protocol'},VPN connection established but internal resources unreachable,"{'connection', 'internal', 'resources', 'unreachable', 'vpn', 'establish'}"
internal resources unreachable,0,post048,,0,{'protocol'},VPN connection established but internal resources unreachable,"{'connection', 'internal', 'resources', 'unreachable', 'vpn', 'establish'}"
signal drop dramatically,0,post049,,1,set(),"When I move from my living room to the bedroom, the Wi-Fi signal drops dramatically or disconnects completely.","{'signal', 'bedroom', 'wifi', 'drop', 'dramatically'}"
bedroom wifi signal,0,post049,,1,set(),"When I move from my living room to the bedroom, the Wi-Fi signal drops dramatically or disconnects completely.","{'signal', 'bedroom', 'wifi', 'drop', 'dramatically'}"
certain websites wont websites wont load load,0,post050,,0,{'tool'},Certain websites won’t load even though ping is good,"{'wont', 'good', 'websites', 'certain', 'load', 'ping'}"
ping good,1,post050,,0,{'tool'},Certain websites won’t load even though ping is good,"{'wont', 'good', 'websites', 'certain', 'load', 'ping'}"
access internet devices connect wifi,0,post051,,1,set(),My PC is connected to Wi-Fi but can’t access the internet. Other devices on the same network are fine.,"{'fine', 'access', 'wifi', 'network', 'internet', 'devices', 'connect'}"
access devices network fine wifi,0,post051,,1,set(),My PC is connected to Wi-Fi but can’t access the internet. Other devices on the same network are fine.,"{'fine', 'access', 'wifi', 'network', 'internet', 'devices', 'connect'}"
access internet,1,post051,,1,set(),My PC is connected to Wi-Fi but can’t access the internet. Other devices on the same network are fine.,"{'fine', 'access', 'wifi', 'network', 'internet', 'devices', 'connect'}"
vpn connection drop,0,post052,,1,"{'protocol', 'time'}","While on Zoom calls, my VPN connection drops after about 10 minutes, causing interruptions.","{'zoom', 'drop', 'connection', 'vpn'}"
zoom vpn connection,1,post052,,1,"{'protocol', 'time'}","While on Zoom calls, my VPN connection drops after about 10 minutes, causing interruptions.","{'zoom', 'drop', 'connection', 'vpn'}"
laptop internet slow,0,post053,,0,{'device'},Laptop internet slow but phones are fine,"{'slow', 'laptop', 'internet', 'phone'}"
internet slow phone,0,post053,,0,{'device'},Laptop internet slow but phones are fine,"{'slow', 'laptop', 'internet', 'phone'}"
laptops internet speed compare phone wifi,0,post053,,1,{'device'},My laptop's internet speed is very slow compared to my phone on the same Wi-Fi network.,"{'laptops', 'wifi', 'internet', 'speed', 'compare', 'phone'}"
strong wifi signal hang fail download large file,0,post056,,1,{'device'},"My laptop shows a strong Wi-Fi signal, but large files hang or fail to download.","{'signal', 'strong', 'wifi', 'hang', 'fail', 'large', 'laptop', 'download', 'file'}"
hang laptop strong wifi,0,post056,,1,{'device'},"My laptop shows a strong Wi-Fi signal, but large files hang or fail to download.","{'signal', 'strong', 'wifi', 'hang', 'fail', 'large', 'laptop', 'download', 'file'}"
hotel wifi require login,0,post057,,0,{'person'},Hotel Wi-Fi requires login but login page won’t load,"{'wifi', 'login', 'hotel', 'page', 'require'}"
login page,1,post057,,0,{'person'},Hotel Wi-Fi requires login but login page won’t load,"{'wifi', 'login', 'hotel', 'page', 'require'}"
captive portal login wifi,0,post057,,1,set(),"I connect to the hotel Wi-Fi, but the captive portal login page never appears, so I can’t get online.","{'captive', 'wifi', 'login', 'portal', 'connect', 'hotel'}"
captive portal connect,1,post057,,1,set(),"I connect to the hotel Wi-Fi, but the captive portal login page never appears, so I can’t get online.","{'captive', 'wifi', 'login', 'portal', 'connect', 'hotel'}"
hotel wifi,2,post057,,1,set(),"I connect to the hotel Wi-Fi, but the captive portal login page never appears, so I can’t get online.","{'captive', 'wifi', 'login', 'portal', 'connect', 'hotel'}"
connect slow internet,0,post058,,0,{'protocol'},VPN connects but slow internet speeds,"{'vpn', 'slow', 'connect', 'internet'}"
vpn connect slow,0,post058,,0,{'protocol'},VPN connects but slow internet speeds,"{'vpn', 'slow', 'connect', 'internet'}"
successfully internet speed vpn connect successfully,0,post058,,1,{'protocol'},"My VPN connects successfully, but my internet speed drops to almost unusable levels.","{'unusable', 'successfully', 'internet', 'speed', 'drop', 'connect', 'vpn'}"
speed drop unusable,0,post058,,1,{'protocol'},"My VPN connects successfully, but my internet speed drops to almost unusable levels.","{'unusable', 'successfully', 'internet', 'speed', 'drop', 'connect', 'vpn'}"
ping spike despite high ping spike despite stable wifi,0,post059,,0,{'tool'},High ping spikes despite stable Wi-Fi,"{'high', 'despite', 'wifi', 'stable', 'ping', 'spike'}"
wifi signal stable stable strong,0,post059,,1,"{'time', 'tool'}","My Wi-Fi signal is stable and strong, but my ping in online games randomly spikes every few minutes.","{'signal', 'strong', 'wifi', 'stable', 'online', 'ping'}"
ping strong ping online,0,post059,,1,"{'time', 'tool'}","My Wi-Fi signal is stable and strong, but my ping in online games randomly spikes every few minutes.","{'signal', 'strong', 'wifi', 'stable', 'online', 'ping'}"
access company intranet,0,post062,,0,{'protocol'},Can’t access company intranet over VPN,"{'intranet', 'access', 'vpn', 'company'}"
company intranet vpn,1,post062,,0,{'protocol'},Can’t access company intranet over VPN,"{'intranet', 'access', 'vpn', 'company'}"
vpn connect fine company intranet internal,0,post062,,1,{'protocol'},"VPN connects fine, but I can’t reach our company intranet or internal websites.","{'fine', 'internal', 'company', 'connect', 'vpn', 'intranet'}"
wifi limit device limit device connections hotel wifi limit,0,post064,,0,{'person'},Hotel Wi-Fi limits device connections,"{'wifi', 'connections', 'limit', 'hotel', 'device'}"
slow file transfer vpn slow file file transfer drastically,0,post065,,0,{'protocol'},VPN slows down file transfers drastically,"{'slow', 'drastically', 'transfer', 'vpn', 'file'}"
wifi ask payment hotel,0,post067,,0,{'person'},Hotel Wi-Fi asks for payment after free trial,"{'payment', 'wifi', 'trial', 'ask', 'hotel', 'free'}"
wifi ask ask payment,1,post067,,0,{'person'},Hotel Wi-Fi asks for payment after free trial,"{'payment', 'wifi', 'trial', 'ask', 'hotel', 'free'}"
free payment free trial,2,post067,,0,{'person'},Hotel Wi-Fi asks for payment after free trial,"{'payment', 'wifi', 'trial', 'ask', 'hotel', 'free'}"
connect game location,0,post068,,0,{'protocol'},VPN connected but games show location mismatch,"{'mismatch', 'connect', 'game', 'location'}"
game location mismatch,1,post068,,0,{'protocol'},VPN connected but games show location mismatch,"{'mismatch', 'connect', 'game', 'location'}"
wifi slow buffer devices,0,post069,,1,{'device'},"Some of my devices have fast Wi-Fi, but others are slow or keep buffering even near the router.","{'fast', 'slow', 'router', 'wifi', 'near', 'devices', 'buffer'}"
fast wifi buffer near router,0,post069,,1,{'device'},"Some of my devices have fast Wi-Fi, but others are slow or keep buffering even near the router.","{'fast', 'slow', 'router', 'wifi', 'near', 'devices', 'buffer'}"
despite strong wifi strong wifi signal,0,post071,,0,set(),Buffering issues despite strong Wi-Fi signal,"{'signal', 'despite', 'strong', 'wifi', 'issue', 'buffer'}"
buffer issue despite,0,post071,,0,set(),Buffering issues despite strong Wi-Fi signal,"{'signal', 'despite', 'strong', 'wifi', 'issue', 'buffer'}"
company resources inaccessible,0,post072,,0,{'protocol'},VPN connects but company resources inaccessible,"{'inaccessible', 'company', 'resources', 'connect', 'vpn'}"
vpn connect company,1,post072,,0,{'protocol'},VPN connects but company resources inaccessible,"{'inaccessible', 'company', 'resources', 'connect', 'vpn'}"
despite low ping low ping vpn game lag despite,0,post073,,0,"{'protocol', 'tool'}",Games lag despite low ping on VPN,"{'despite', 'game', 'lag', 'low', 'ping', 'vpn'}"
gameplay laggy input low ping,0,post073,,1,"{'protocol', 'tool'}","I use VPN and get low ping, but gameplay is still laggy and input delays happen.","{'low', 'laggy', 'input', 'ping', 'gameplay'}"
gameplay ping gameplay laggy,0,post073,,1,"{'protocol', 'tool'}","I use VPN and get low ping, but gameplay is still laggy and input delays happen.","{'low', 'laggy', 'input', 'ping', 'gameplay'}"
wifi disconnect minutes,0,post074,,0,"{'time', 'person'}",Hotel Wi-Fi disconnects after a few minutes,"{'wifi', 'hotel', 'minutes', 'disconnect'}"
hotel wifi disconnect,1,post074,,0,"{'time', 'person'}",Hotel Wi-Fi disconnects after a few minutes,"{'wifi', 'hotel', 'minutes', 'disconnect'}"
slow internet despite vpn,0,post075,,0,{'protocol'},VPN slows down internet despite fast local Wi-Fi,"{'fast', 'slow', 'despite', 'wifi', 'internet', 'local', 'vpn'}"
slow internet fast local wifi,0,post075,,0,{'protocol'},VPN slows down internet despite fast local Wi-Fi,"{'fast', 'slow', 'despite', 'wifi', 'internet', 'local', 'vpn'}"
connect vpn internet local wifi speed internet speed drop,0,post075,,1,{'protocol'},"My local Wi-Fi speed is good, but when I connect to VPN, internet speed drops significantly.","{'wifi', 'internet', 'local', 'speed', 'drop', 'connect', 'vpn'}"
geoblocked content unavailable,0,post077,,0,{'protocol'},VPN connected but geo-blocked content still unavailable,"{'content', 'geoblocked', 'connect', 'unavailable'}"
connect geoblocked content,1,post077,,0,{'protocol'},VPN connected but geo-blocked content still unavailable,"{'content', 'geoblocked', 'connect', 'unavailable'}"
access georestricted game,0,post077,,1,{'protocol'},"Even with VPN active, I can’t access some geo-restricted games or videos.","{'georestricted', 'access', 'game', 'active', 'vpn'}"
vpn active,1,post077,,1,{'protocol'},"Even with VPN active, I can’t access some geo-restricted games or videos.","{'georestricted', 'access', 'game', 'active', 'vpn'}"
access,2,post077,,1,{'protocol'},"Even with VPN active, I can’t access some geo-restricted games or videos.","{'georestricted', 'access', 'game', 'active', 'vpn'}"
signal strong,0,post078,,0,set(),Wi-Fi signal strong but pages load slowly,"{'signal', 'strong', 'slowly', 'load', 'page'}"
page page load slowly,0,post078,,0,set(),Wi-Fi signal strong but pages load slowly,"{'signal', 'strong', 'slowly', 'load', 'page'}"
hotel wifi require login time reconnect,0,post079,,0,{'person'},Hotel Wi-Fi requires login every time I reconnect,"{'wifi', 'login', 'require', 'reconnect', 'hotel', 'time'}"
come hotel wifi hotel wifi ask ask log annoy,0,post079,,1,set(),"Every time I leave and come back to the hotel Wi-Fi, it asks me to log in again, which is annoying.","{'come', 'wifi', 'annoy', 'ask', 'hotel', 'log'}"
slow disconnect peak vpn slow disconnect disconnect peak hours,0,post080,,1,"{'protocol', 'time'}",My VPN is slow and keeps disconnecting during peak hours at work.,"{'slow', 'hours', 'disconnect', 'vpn', 'peak'}"
connect stream videos videos buffer frequently,0,post081,,0,{'protocol'},VPN connected but streaming videos buffer frequently,"{'videos', 'frequently', 'stream', 'connect', 'buffer'}"
connect stream service buffer,0,post081,,1,{'protocol'},"Even though my VPN shows connected, streaming services keep buffering or lower quality automatically.","{'lower', 'service', 'stream', 'connect', 'quality', 'buffer'}"
lower quality,2,post081,,1,{'protocol'},"Even though my VPN shows connected, streaming services keep buffering or lower quality automatically.","{'lower', 'service', 'stream', 'connect', 'quality', 'buffer'}"
internal email share vpn,0,post082,,1,{'protocol'},VPN says connected but I can’t open internal emails or shared drives at all.,"{'internal', 'say', 'connect', 'share', 'email', 'vpn'}"
say connect,1,post082,,1,{'protocol'},VPN says connected but I can’t open internal emails or shared drives at all.,"{'internal', 'say', 'connect', 'share', 'email', 'vpn'}"
webpages slow laggy,0,post083,,1,set(),My phone shows strong Wi-Fi bars but loading apps and webpages is slow and laggy.,"{'slow', 'webpages', 'strong', 'wifi', 'bar', 'laggy'}"
strong wifi bar,0,post083,,1,set(),My phone shows strong Wi-Fi bars but loading apps and webpages is slow and laggy.,"{'slow', 'webpages', 'strong', 'wifi', 'bar', 'laggy'}"
vpn drop multiple day,0,post084,,1,"{'protocol', 'date'}","My VPN drops out multiple times during the day, interrupting my work.","{'day', 'multiple', 'drop', 'work', 'vpn', 'interrupt'}"
interrupt work,0,post084,,1,"{'protocol', 'date'}","My VPN drops out multiple times during the day, interrupting my work.","{'day', 'multiple', 'drop', 'work', 'vpn', 'interrupt'}"
wifi connection sleep lose wifi connection,0,post086,,1,{'device'},"My laptop loses Wi-Fi connection whenever it sleeps, causing dropouts in downloads.","{'connection', 'download', 'dropouts', 'wifi', 'lose', 'sleep', 'cause'}"
cause dropouts download,1,post086,,1,{'device'},"My laptop loses Wi-Fi connection whenever it sleeps, causing dropouts in downloads.","{'connection', 'download', 'dropouts', 'wifi', 'lose', 'sleep', 'cause'}"
slow afternoon work vpn slow afternoon afternoon work hours,0,post088,,0,"{'protocol', 'time'}",VPN slows down during afternoon work hours,"{'slow', 'afternoon', 'hours', 'work', 'vpn'}"
websites slow,0,post089,,0,set(),Websites slow despite full Wi-Fi bars,"{'slow', 'despite', 'bar', 'wifi', 'websites'}"
slow despite wifi,0,post089,,0,set(),Websites slow despite full Wi-Fi bars,"{'slow', 'despite', 'bar', 'wifi', 'websites'}"
despite wifi bar,0,post089,,0,set(),Websites slow despite full Wi-Fi bars,"{'slow', 'despite', 'bar', 'wifi', 'websites'}"
connect georestricted content,0,post090,,0,{'protocol'},VPN connected but geo-restricted content still blocked,"{'content', 'georestricted', 'connect', 'vpn'}"
vpn connect georestricted,2,post090,,0,{'protocol'},VPN connected but geo-restricted content still blocked,"{'content', 'georestricted', 'connect', 'vpn'}"
cause frequent disconnections,0,post098,,0,set(),Network driver update causes frequent disconnections,"{'network', 'frequent', 'disconnections', 'update', 'driver', 'cause'}"
network driver update,1,post098,,0,set(),Network driver update causes frequent disconnections,"{'network', 'frequent', 'disconnections', 'update', 'driver', 'cause'}"
ethernet driver connection,0,post098,,1,{'time'},"Since updating my Ethernet driver, my connection drops every few minutes.","{'update', 'connection', 'driver', 'ethernet'}"
update ethernet driver,2,post098,,1,{'time'},"Since updating my Ethernet driver, my connection drops every few minutes.","{'update', 'connection', 'driver', 'ethernet'}"
slow upload,0,post099,,0,set(),Wi-Fi driver update causes slow upload speeds,"{'slow', 'wifi', 'upload', 'update', 'driver', 'cause'}"
wifi driver update,1,post099,,0,set(),Wi-Fi driver update causes slow upload speeds,"{'slow', 'wifi', 'upload', 'update', 'driver', 'cause'}"
wireless driver upload update,0,post099,,1,set(),"After updating my wireless driver, my upload speeds dropped significantly.","{'wireless', 'upload', 'speed', 'update', 'driver'}"
wireless driver driver upload speed,2,post099,,1,set(),"After updating my wireless driver, my upload speeds dropped significantly.","{'wireless', 'upload', 'speed', 'update', 'driver'}"
ping spike,0,post100,,0,{'tool'},"After network driver update, ping spikes in games","{'ping', 'update', 'spike', 'driver'}"
driver update,1,post100,,0,{'tool'},"After network driver update, ping spikes in games","{'ping', 'update', 'spike', 'driver'}"
ping update,2,post100,,0,{'tool'},"After network driver update, ping spikes in games","{'ping', 'update', 'spike', 'driver'}"
video buffer,0,post101,,0,set(),Network driver update causes video buffering issues,"{'network', 'video', 'update', 'driver', 'cause', 'buffer'}"
